id,name,age,position,Current Club,nationality,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
978,M_DÃºbravka,31,Goalkeeper,Newcastle United,Slovakia,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,11,5,6,44,23,21,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,345,317,58,18
979,M_Kelly,30,Defender,Crystal Palace,England,1110,660,450,13,8,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0,0,0,0,0,0,1.46,62,85,555,0,0.16,326,350,110,18
980,M­n_Montoya,29,Defender,Brighton & Hove Albion,Spain,2166,1176,990,25,14,11,0,0,0,1,0,1,0,0,3,3,0,38,18,20,4,0,0.04,0.04,0,0,0,0,1.58,57,87,542,2166,0.17,294,229,128,13
981,M_Greenwood,19,Midfielder,Manchester United,England,115,105,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.57,58,38,0,0,0,-1,-1,-1,27
982,M_Holgate,24,Defender,Everton,England,407,270,137,5,3,2,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,390,160,16
983,M›j_Vydra,28,Forward,Burnley,Czech Republic,311,91,220,13,6,7,1,1,0,1,0,1,0,0,1,1,0,4,0,4,1,0,0.58,0.29,0.29,0.99,0,311,1.16,78,24,311,311,0.29,66,23,-1,12
984,M_KovaÄiÄ‡,26,Midfielder,Chelsea,Croatia,1743,968,775,32,17,15,0,0,0,2,1,1,0,0,12,8,4,18,4,14,3,0,0.1,0.1,0,0,0,0,0.93,97,54,581,872,0.15,291,150,-1,20
985,M_Ryan,28,Goalkeeper,Brighton & Hove Albion,Australia,3060,1530,1530,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,389,122,15
986,M_Jattah-Njie_JÃ¸rgensen,30,Defender,Huddersfield Town,Denmark,2148,1248,900,24,14,10,3,1,2,1,0,1,0,0,3,2,1,37,21,16,6,0,0.17,0.04,0.13,0.07,0.2,716,1.55,58,90,358,2148,0.25,129,235,125,2
987,M_Butcher,23,Midfielder,AFC Bournemouth,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
